       wId wName                                          wCap        sId        nId
         1 Supplier#000000001____EGYPT                    2490          1          4
         2 Supplier#000000001____ROMANIA                  3066          1         19
         3 Supplier#000000001____MOROCCO                  2172          1         15
         4 Supplier#000000002____VIETNAM                  2814          2         21
         5 Supplier#000000002____SAUDI ARABIA             2379          2         20
         6 Supplier#000000002____UNITED KINGDOM           2109          2         23
         7 Supplier#000000003____ALGERIA                  3009          3          0
         8 Supplier#000000003____JAPAN                    2556          3         12
         9 Supplier#000000003____IRAN                     2592          3         10
        10 Supplier#000000004____CANADA                   3369          4          3
        11 Supplier#000000004____IRAN                     2958          4         10
        12 Supplier#000000004____UNITED KINGDOM           2892          4         23
        13 Supplier#000000005____EGYPT                    1878          5          4
        14 Supplier#000000005____CANADA                   2595          5          3
        15 Supplier#000000005____VIETNAM                  2097          5         21
        16 Supplier#000000006____IRAN                     2598          6         10
        17 Supplier#000000006____CANADA                   2379          6          3
        18 Supplier#000000006____INDIA                    2208          6          8
        19 Supplier#000000007____CANADA                   2265          7          3
        20 Supplier#000000007____ROMANIA                  2841          7         19
        21 Supplier#000000007____RUSSIA                   2145          7         22
        22 Supplier#000000008____CANADA                   3132          8          3
        23 Supplier#000000008____EGYPT                    2757          8          4
        24 Supplier#000000008____ROMANIA                  2697          8         19
        25 Supplier#000000009____IRAQ                     2691          9         11
        26 Supplier#000000009____EGYPT                    2385          9          4
        27 Supplier#000000009____CANADA                   2211          9          3
        28 Supplier#000000010____GERMANY                  2892         10          7
        29 Supplier#000000010____CANADA                   2487         10          3
        30 Supplier#000000010____KENYA                    2547         10         14
        31 Supplier#000000011____EGYPT                    2598         11          4
        32 Supplier#000000011____ROMANIA                  2643         11         19
        33 Supplier#000000011____UNITED KINGDOM           2760         11         23
        34 Supplier#000000012____SAUDI ARABIA             2427         12         20
        35 Supplier#000000012____INDONESIA                2163         12          9
        36 Supplier#000000012____JAPAN                    2325         12         12
        37 Supplier#000000013____EGYPT                    2580         13          4
        38 Supplier#000000013____MOZAMBIQUE               2808         13         16
        39 Supplier#000000013____JAPAN                    2079         13         12
        40 Supplier#000000014____CANADA                   2376         14          3
        41 Supplier#000000014____EGYPT                    3195         14          4
        42 Supplier#000000014____BRAZIL                   2724         14          2
        43 Supplier#000000015____SAUDI ARABIA             3273         15         20
        44 Supplier#000000015____IRAN                     3384         15         10
        45 Supplier#000000015____EGYPT                    2889         15          4
        46 Supplier#000000016____SAUDI ARABIA             2958         16         20
        47 Supplier#000000016____CANADA                   2622         16          3
        48 Supplier#000000016____CHINA                    2766         16         18
        49 Supplier#000000017____ROMANIA                  2520         17         19
        50 Supplier#000000017____INDONESIA                2388         17          9
        51 Supplier#000000017____CANADA                   2337         17          3
        52 Supplier#000000018____ROMANIA                  2793         18         19
        53 Supplier#000000018____MOROCCO                  2688         18         15
        54 Supplier#000000018____CANADA                   3069         18          3
        55 Supplier#000000019____ROMANIA                  3654         19         19
        56 Supplier#000000019____EGYPT                    2709         19          4
        57 Supplier#000000019____INDONESIA                2616         19          9
        58 Supplier#000000020____BRAZIL                   2625         20          2
        59 Supplier#000000020____UNITED STATES            1851         20         24
        60 Supplier#000000020____CANADA                   2862         20          3
        61 Supplier#000000021____CANADA                   2886         21          3
        62 Supplier#000000021____MOZAMBIQUE               2148         21         16
        63 Supplier#000000021____BRAZIL                   1980         21          2
        64 Supplier#000000022____KENYA                    3261         22         14
        65 Supplier#000000022____VIETNAM                  3084         22         21
        66 Supplier#000000022____ALGERIA                  2313         22          0
        67 Supplier#000000023____UNITED KINGDOM           2349         23         23
        68 Supplier#000000023____SAUDI ARABIA             2547         23         20
        69 Supplier#000000023____IRAN                     2187         23         10
        70 Supplier#000000024____INDONESIA                2475         24          9
        71 Supplier#000000024____ALGERIA                  2391         24          0
        72 Supplier#000000024____ROMANIA                  2220         24         19
        73 Supplier#000000025____BRAZIL                   2745         25          2
        74 Supplier#000000025____ALGERIA                  2688         25          0
        75 Supplier#000000025____EGYPT                    1890         25          4
        76 Supplier#000000026____EGYPT                    2652         26          4
        77 Supplier#000000026____VIETNAM                  2190         26         21
        78 Supplier#000000026____ETHIOPIA                 1956         26          5
        79 Supplier#000000027____EGYPT                    2544         27          4
        80 Supplier#000000027____IRAN                     2487         27         10
        81 Supplier#000000027____ETHIOPIA                 2796         27          5
        82 Supplier#000000028____MOZAMBIQUE               3411         28         16
        83 Supplier#000000028____INDONESIA                2823         28          9
        84 Supplier#000000028____IRAN                     2376         28         10
        85 Supplier#000000029____JAPAN                    2172         29         12
        86 Supplier#000000029____INDONESIA                1881         29          9
        87 Supplier#000000029____EGYPT                    2265         29          4
        88 Supplier#000000030____CANADA                   3162         30          3
        89 Supplier#000000030____ROMANIA                  2028         30         19
        90 Supplier#000000030____IRAN                     2544         30         10
        91 Supplier#000000031____ALGERIA                  2400         31          0
        92 Supplier#000000031____JAPAN                    2226         31         12
        93 Supplier#000000031____IRAN                     2337         31         10
        94 Supplier#000000032____CANADA                   2913         32          3
        95 Supplier#000000032____INDIA                    2868         32          8
        96 Supplier#000000032____SAUDI ARABIA             2856         32         20
        97 Supplier#000000033____EGYPT                    2349         33          4
        98 Supplier#000000033____JAPAN                    2367         33         12
        99 Supplier#000000033____CANADA                   2265         33          3
       100 Supplier#000000034____MOZAMBIQUE               2100         34         16
       101 Supplier#000000034____ALGERIA                  2292         34          0
       102 Supplier#000000034____BRAZIL                   2478         34          2
       103 Supplier#000000035____ROMANIA                  2898         35         19
       104 Supplier#000000035____BRAZIL                   2835         35          2
       105 Supplier#000000035____MOZAMBIQUE               2226         35         16
       106 Supplier#000000036____BRAZIL                   2256         36          2
       107 Supplier#000000036____ALGERIA                  2070         36          0
       108 Supplier#000000036____MOZAMBIQUE               1917         36         16
       109 Supplier#000000037____BRAZIL                   3069         37          2
       110 Supplier#000000037____CANADA                   2634         37          3
       111 Supplier#000000037____IRAN                     2505         37         10
       112 Supplier#000000038____JAPAN                    3210         38         12
       113 Supplier#000000038____ROMANIA                  3300         38         19
       114 Supplier#000000038____SAUDI ARABIA             2550         38         20
       115 Supplier#000000039____SAUDI ARABIA             2967         39         20
       116 Supplier#000000039____CANADA                   2739         39          3
       117 Supplier#000000039____MOZAMBIQUE               2961         39         16
       118 Supplier#000000040____BRAZIL                   2883         40          2
       119 Supplier#000000040____INDONESIA                2475         40          9
       120 Supplier#000000040____EGYPT                    2184         40          4
       121 Supplier#000000041____CANADA                   3132         41          3
       122 Supplier#000000041____SAUDI ARABIA             2430         41         20
       123 Supplier#000000041____MOZAMBIQUE               2736         41         16
       124 Supplier#000000042____EGYPT                    2655         42          4
       125 Supplier#000000042____UNITED KINGDOM           2409         42         23
       126 Supplier#000000042____SAUDI ARABIA             2346         42         20
       127 Supplier#000000043____CANADA                   2988         43          3
       128 Supplier#000000043____ROMANIA                  2733         43         19
       129 Supplier#000000043____BRAZIL                   2718         43          2
       130 Supplier#000000044____MOZAMBIQUE               3135         44         16
       131 Supplier#000000044____BRAZIL                   2601         44          2
       132 Supplier#000000044____UNITED KINGDOM           2406         44         23
       133 Supplier#000000045____CANADA                   2898         45          3
       134 Supplier#000000045____IRAN                     2649         45         10
       135 Supplier#000000045____UNITED KINGDOM           2631         45         23
       136 Supplier#000000046____MOZAMBIQUE               3198         46         16
       137 Supplier#000000046____CANADA                   3501         46          3
       138 Supplier#000000046____JAPAN                    2790         46         12
       139 Supplier#000000047____SAUDI ARABIA             2622         47         20
       140 Supplier#000000047____INDONESIA                2037         47          9
       141 Supplier#000000047____MOZAMBIQUE               2199         47         16
       142 Supplier#000000048____IRAN                     3408         48         10
       143 Supplier#000000048____JAPAN                    2622         48         12
       144 Supplier#000000048____BRAZIL                   2517         48          2
       145 Supplier#000000049____CANADA                   3030         49          3
       146 Supplier#000000049____UNITED KINGDOM           2157         49         23
       147 Supplier#000000049____VIETNAM                  2250         49         21
       148 Supplier#000000050____SAUDI ARABIA             3105         50         20
       149 Supplier#000000050____GERMANY                  2394         50          7
       150 Supplier#000000050____KENYA                    2712         50         14
       151 Supplier#000000051____CANADA                   4146         51          3
       152 Supplier#000000051____SAUDI ARABIA             2874         51         20
       153 Supplier#000000051____EGYPT                    3105         51          4
       154 Supplier#000000052____CANADA                   2565         52          3
       155 Supplier#000000052____EGYPT                    3027         52          4
       156 Supplier#000000052____IRAN                     2445         52         10
       157 Supplier#000000053____JAPAN                    2841         53         12
       158 Supplier#000000053____BRAZIL                   2055         53          2
       159 Supplier#000000053____CANADA                   2109         53          3
       160 Supplier#000000054____BRAZIL                   2838         54          2
       161 Supplier#000000054____SAUDI ARABIA             2535         54         20
       162 Supplier#000000054____ALGERIA                  2478         54          0
       163 Supplier#000000055____UNITED KINGDOM           3027         55         23
       164 Supplier#000000055____IRAQ                     2568         55         11
       165 Supplier#000000055____BRAZIL                   2682         55          2
       166 Supplier#000000056____MOROCCO                  2004         56         15
       167 Supplier#000000056____SAUDI ARABIA             2301         56         20
       168 Supplier#000000056____EGYPT                    2727         56          4
       169 Supplier#000000057____CANADA                   2538         57          3
       170 Supplier#000000057____GERMANY                  2397         57          7
       171 Supplier#000000057____JORDAN                   2244         57         13
       172 Supplier#000000058____ALGERIA                  2619         58          0
       173 Supplier#000000058____VIETNAM                  2124         58         21
