nation                                         numW     totCap
CANADA                                           40     111834
IRAN                                             35      89568
EGYPT                                            34      87378
BRAZIL                                           26      69405
SAUDI ARABIA                                     21      54945
JAPAN                                            18      45192
MOZAMBIQUE                                       17      43893
ROMANIA                                          16      42753
ALGERIA                                          15      38034
UNITED KINGDOM                                   15      37032
INDONESIA                                        13      33393
MOROCCO                                          11      27189
VIETNAM                                          11      27093
KENYA                                             6      16551
GERMANY                                           5      12606
JORDAN                                            4       9732
ETHIOPIA                                          4       9345
IRAQ                                              3       7359
INDIA                                             2       5076
CHINA                                             1       2766
RUSSIA                                            1       2145
ARGENTINA                                         1       1989
UNITED STATES                                     1       1851
