warehouse                                  capacity
Supplier#000000028____MOZAMBIQUE               3411
Supplier#000000022____KENYA                    3261
Supplier#000000077____KENYA                    3201
Supplier#000000046____MOZAMBIQUE               3198
Supplier#000000044____MOZAMBIQUE               3135
Supplier#000000003____ALGERIA                  3009
Supplier#000000039____MOZAMBIQUE               2961
Supplier#000000089____ALGERIA                  2904
Supplier#000000096____MOROCCO                  2904
Supplier#000000086____MOZAMBIQUE               2889
Supplier#000000086____MOROCCO                  2862
Supplier#000000013____MOZAMBIQUE               2808
Supplier#000000027____ETHIOPIA                 2796
Supplier#000000041____MOZAMBIQUE               2736
Supplier#000000082____MOZAMBIQUE               2733
Supplier#000000050____KENYA                    2712
Supplier#000000025____ALGERIA                  2688
Supplier#000000018____MOROCCO                  2688
Supplier#000000084____MOROCCO                  2664
Supplier#000000081____ALGERIA                  2643
Supplier#000000088____ALGERIA                  2628
Supplier#000000058____ALGERIA                  2619
Supplier#000000071____ALGERIA                  2568
Supplier#000000099____MOROCCO                  2565
Supplier#000000010____KENYA                    2547
Supplier#000000091____ALGERIA                  2544
Supplier#000000089____MOZAMBIQUE               2532
Supplier#000000093____MOROCCO                  2520
Supplier#000000095____MOROCCO                  2499
Supplier#000000098____ALGERIA                  2487
Supplier#000000054____ALGERIA                  2478
Supplier#000000090____MOROCCO                  2445
Supplier#000000091____KENYA                    2436
Supplier#000000031____ALGERIA                  2400
Supplier#000000092____KENYA                    2394
Supplier#000000024____ALGERIA                  2391
Supplier#000000059____MOZAMBIQUE               2322
Supplier#000000061____MOZAMBIQUE               2322
Supplier#000000022____ALGERIA                  2313
Supplier#000000068____ETHIOPIA                 2310
Supplier#000000034____ALGERIA                  2292
Supplier#000000078____ETHIOPIA                 2283
Supplier#000000063____MOZAMBIQUE               2256
Supplier#000000035____MOZAMBIQUE               2226
Supplier#000000047____MOZAMBIQUE               2199
Supplier#000000001____MOROCCO                  2172
Supplier#000000021____MOZAMBIQUE               2148
Supplier#000000034____MOZAMBIQUE               2100
Supplier#000000036____ALGERIA                  2070
Supplier#000000056____MOROCCO                  2004
